city_region,merchant_id,backend_merchant_id,backend_merchant_name,chain_id,chain_name,latitude,longitude,distance_km,level,scraped_at_utc,source_folder
Bangalore Dark store,31025.0,31024.0,Super Store - Bengaluru E-City Phase1 Warehouse ES46,177.0,Value Store,12.85135135,77.65164805,0.0494,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,37584.0,37585.0,Super Store Bengaluru Talghattapura Warehouse ES155,177.0,Value Store,12.86036036,77.54258923,0.0023,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,37332.0,37333.0,Super Store Bengaluru Yelenahalli Gate Warehouse ES167,177.0,Value Store,12.86261261,77.61560319,0.0235,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34288.0,34289.0,Super Store Bengaluru Sarjapura Warehouse ES103,177.0,Value Store,12.85990991,77.77734296,0.0104,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36818.0,36819.0,Super Store Bengaluru Manipal County 2 Warehouse ES152,177.0,Value Store,12.86396396,77.65118594,0.0109,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,35322.0,35323.0,Super Store Bengaluru Rayasandra Warehouse ES128,177.0,Value Store,12.86216216,77.68445812,0.0256,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31108.0,31107.0,Super Store - Bengaluru JP Nagar 8th Phase Warehouse ES56,177.0,Value Store,12.87072072,77.57586141,0.0305,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34348.0,34349.0,Super Store Bengaluru Hulimavu Warehouse ES106,177.0,Value Store,12.86486487,77.60035344,0.0012,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31462.0,31461.0,Super Store - Bengaluru DLF - Akshay Nagar Warehouse ES73,177.0,Value Store,12.87162162,77.61652741,0.0058,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34752.0,34753.0,Super Store Bengaluru Sobha Oasis Warehouse ES120,177.0,Value Store,12.86756757,77.66273878,0.0348,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,42458.0,42459.0,Super Store Bengaluru Konanakunte Warehouse ES259,177.0,Value Store,12.87387387,77.57077816,0.0468,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30792.0,30793.0,Super Store - Bengaluru Manipal County Rd Warehouse ES20,177.0,Value Store,12.87477477,77.64841325,0.009,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,40150.0,40151.0,Super Store Bengaluru Brigade Panorama Warehouse ES204,177.0,Value Store,12.88603603,77.45109072,0.0324,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31250.0,31249.0,Super Store - Bengaluru Hosa Road 2 Warehouse ES52,177.0,Value Store,12.88423423,77.67198105,0.0308,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30788.0,30766.0,Super Store -  Bengaluru Arekere Warehouse ES33,177.0,Value Store,12.88423424,77.5957323,0.0183,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30638.0,30637.0,Super Store - Bangalore Hongasandra Warehouse ES30 LD,177.0,Value Store,12.88918919,77.62022433,0.0449,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30614.0,30613.0,Super Store - Bangalore Haralur Warehouse ES25,177.0,Value Store,12.89324324,77.65026171,0.0217,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34744.0,34745.0,Super Store Bengaluru Hosur Road Warehouse ES126,177.0,Value Store,12.89594595,77.63270139,0.0165,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30248.0,30249.0,Super Store - Bangalore Warehouse Kanakpura ES4,177.0,Value Store,12.89504505,77.56569491,0.0342,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,40523.0,40538.0,Super Store Bengaluru Sarjapur Kodathi Warehouse ES234,177.0,Value Store,12.9,77.71911664,0.0851,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,33992.0,33993.0,Super Store Bengaluru BTM Layout Warehouse ES95,177.0,Value Store,12.90585585,77.60913359,0.0731,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34262.0,34263.0,Super Store Bengaluru ITI Layout Warehouse ES105,177.0,Value Store,12.90315315,77.63870887,0.0264,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,33415.0,33416.0,Super Store Bengaluru Uttarahali Warehouse ES85,177.0,Value Store,12.90765766,77.54582402,0.0291,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,39058.0,39059.0,Super Store Bengaluru JP Nagar 5th Phase Warehouse ES209,177.0,Value Store,12.90585586,77.58649003,0.0246,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,41096.0,41097.0,Super Store Bengaluru BTM Layout 2nd Stage Warehouse ES233,177.0,Value Store,12.90990991,77.60266401,0.0467,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34994.0,34995.0,Super Store Bengaluru Bommanahalli Warehouse ES129,177.0,Value Store,12.91306306,77.62484546,0.059,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,40589.0,40599.0,Super Store Bengaluru HSR Sector 2 Warehouse ES179,177.0,Value Store,12.90855856,77.65026171,0.0029,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31304.0,31303.0,Super Store - Bengaluru Hosa Road Warehouse ES37,177.0,Value Store,12.90900901,77.67660219,0.0987,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36730.0,36731.0,Super Store Bengaluru Doddakannelli Warehouse ES154,177.0,Value Store,12.90630631,77.69739731,0.017367316,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34544.0,34550.0,Super Store Bengaluru Mailasandra Warehouse ES117,177.0,Value Store,12.91711711,77.49961266,0.0278,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34612.0,34613.0,Super Store Bengaluru RR Nagar Warehouse ES104,177.0,Value Store,12.91531531,77.51855932,0.004,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,39459.0,39484.0,Super Store Bengaluru Kumaraswamy Layout Warehouse ES215,177.0,Value Store,12.91036036,77.56661913,0.0165,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,38280.0,38281.0,Super Store Bengaluru Fisherman's Warf Haralur Warehouse ES170,177.0,Value Store,12.91486486,77.6668978,0.0151,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36385.0,36386.0,Super Store Bengaluru Madiwala 8th Cross Warehouse ES156,177.0,Value Store,12.91936937,77.61514108,0.0202,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31530.0,31529.0,Super Store - Bengaluru Jakkasandra Warehouse ES65,177.0,Value Store,12.91486487,77.63547407,0.0605,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36475.0,36476.0,Super Store Bengaluru Agara Village Warehouse ES158,177.0,Value Store,12.91936937,77.64841325,0.0035,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31532.0,31531.0,Super Store - Bengaluru Jayanagar 4th Block Warehouse ES71,177.0,Value Store,12.92612612,77.58926271,0.0572,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,40102.0,40103.0,Super Store Bengaluru Tavarekere Warehouse ES225,177.0,Value Store,12.92612612,77.60867148,0.0215,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34350.0,34351.0,Super Store Bengaluru Madiwala Warehouse ES102,177.0,Value Store,12.92657657,77.60913359,0.1668,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34542.0,34549.0,Super Store Bengaluru Gunjur Warehouse ES111,177.0,Value Store,12.92072072,77.73898753,0.0145,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36535.0,36536.0,Super Store Bengaluru Prestige Bagmane Warehouse ES164,177.0,Value Store,12.93063063,77.51763509,0.2506,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,36222.0,36223.0,Super Store Bengaluru Adarsh Palm Warehouse ES145,177.0,Value Store,12.92342343,77.69508674,0.0156,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31130.0,31129.0,Super Store - Bengaluru Kadubeesanahalli Warehouse ES50,177.0,Value Store,12.92882883,77.70386689,0.0222,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,40076.0,40077.0,Super Store Bengaluru Koramangala 1st Block Warehouse ES223,177.0,Value Store,12.92702703,77.63824675,0.0402,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,31021.0,31020.0,Super Store - Bengaluru Bellandur 2 Warehouse ES34,177.0,Value Store,12.92657658,77.66967049,0.0212,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30771.0,30773.0,Super Store - Bengaluru Bellandur Warehouse ES38,177.0,Value Store,12.93153153,77.6835339,0.0056,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,34546.0,34551.0,Super Store Bengaluru Banashankari Warehouse ES113,177.0,Value Store,12.93693694,77.54859671,0.0528,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30993.0,30992.0,Super Store - Bengaluru Balagere Road Warehouse ES36,177.0,Value Store,12.93783784,77.73667696,0.0145,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,30377.0,30379.0,Super Store - Bangalore Kormangala Warehouse ES14,177.0,Value Store,12.94324324,77.61745164,0.0078,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,35578.0,35579.0,Super Store Bengaluru Marathahalli 14th Cross Warehouse ES135,177.0,Value Store,12.94864864,77.70340478,0.0681,fine,,Blinkit Bangalore Dark store
Bangalore Dark store,39526.0,39528.0,Super Store Bengaluru Srinagar Warehouse ES219,177.0,Value Store,12.95045045,77.54767248,0.0223,fine,,Blinkit Bangalore Dark store
