city,store_id,store_name,latitude,longitude,source_folder
,,BLR-Chandapura,12.78979486,77.70420581,Zepto
,,BLR-Kannika Nagar,12.79803706,77.66311187,Zepto
,,BLR-Neo Town,12.81998463,77.66277018,Zepto
,,BLR-Electronic city network,12.8373766,77.64362247,Zepto
,,BLR-Electronic City New,12.83610023,77.66492453,Zepto
,,BLR-Bommasandra,12.8321446,77.69085963,Zepto
,,BLR-Sunrise Layout,12.84495985,77.59398467,Zepto
,,BLR-Yelenahalli,12.86077262,77.61333628,Zepto
,,BLR-Silicon Town,12.852472,77.675972,Zepto
,,BLR-Golahalli,12.864209,77.569285,Zepto
,,BLR-Electronic City Network-2,12.85202043,77.65224877,Zepto
,,BLR-Sompura,12.86423227,77.77015527,Zepto
,,BLR-RAGHAVENDRA LAYOUT NETWORK 2,12.8666929,77.5357013,Zepto
,,BLR-Anjanapura,12.86034948,77.54171841,Zepto
,,BLR-KOTHNUR,12.86922,77.58182,Zepto
,,BLR-Bannerghatta Network,12.86591329,77.59627361,Zepto
,,BLR-Mico Layout Network,12.87771825,77.64508193,Zepto
,,BLR-Singasandra Network,12.86296,77.67777,Zepto
,,BLR-BANNERGHATTA,12.87747,77.60264,Zepto
,,BLR-Bannerghatta Network 2,12.86837,77.61872,Zepto
,,BLR-SINGASANDRA,12.870083,77.659171,Zepto
,,BLR-RAGHAVENDRA LAYOUT,12.88438622,77.54084471,Zepto
,,BLR-RAGHAVENDRA LAYOUT NETWORK,12.8845944,77.55881835,Zepto
,,BLR-JP Nagar Network-2,12.887526,77.586572,Zepto
,,BLR-MICO LAYOUT,12.89027,77.62579,Zepto
,,BLR-Choodasandra,12.8821174,77.6733285,Zepto
,,BLR-Kumaraswamy Layout,12.89481283,77.56436304,Zepto
,,JP Nagar,12.89581,77.58179,Zepto
,,BLR-BTM-3,12.89932425,77.60549641,Zepto
,,BLR-Kudlu,12.8906552,77.6456667,Zepto
,,BLR-Silver County,12.89366814,77.66299978,Zepto
,,BLR-Junnasandra,12.90252,77.68669,Zepto
,,BLR-Doddakannelli,12.90619582,77.69767734,Zepto
,,BLR-Carmelaram,12.908522,77.71151,Zepto
,,BLR-RR Nagar Network,12.9031547,77.51191762,Zepto
,,BLR-Banashankari Network,12.91552164,77.5456912,Zepto
,,BLR-Mico layout network-2,12.9036896,77.62857765,Zepto
,,BLR-HSR-3,12.905778,77.637514,Zepto
,,BLR-HSR-2,12.899316,77.651296,Zepto
,,BLR-Sarjapur-2,12.9026566,77.6613229,Zepto
,,Sarjapur,12.908418,77.67613,Zepto
,,BLR-BEML Layout,12.91703243,77.49891252,Zepto
,,BLR-RR NAGAR,12.9199,77.5192,Zepto
,,BLR-Kadarenahalli,12.914745,77.559864,Zepto
,,BLR-JP Nagar Network,12.91322648,77.57300634,Zepto
,,BLR-BTM-2,12.91177954,77.60319877,Zepto
,,BLR-HSR Layout New,12.91183266,77.64398388,Zepto
,,BLR-GUNJUR,12.9286633,77.7380822,Zepto
,,BLR-Kengeri,12.92355387,77.49306732,Zepto
,,BLR-BTM LAYOUT NEW,12.9266331,77.60991496,Zepto
,,BLR-BTM Layout Network-3,12.92504226,77.61740928,Zepto
,,BLR-Narayana reddy Layout,12.939045,77.62645,Zepto
,,BLR-27th Main Road,12.92066697,77.64927694,Zepto
,,BLR-Bellandur 6,12.92153068,77.6778849,Zepto
,,BLR-BELLANDUR - 2,12.91910594,77.69695312,Zepto
,,BANASHANKARI,12.934989,77.546885,Zepto
,,BLR-JAYANAGAR New,12.941703,77.580188,Zepto
,,BLR-Bellandur new,12.92856098,77.67066436,Zepto
,,BLR-Agrahara Road,12.931722,77.682389,Zepto
,,BLR-Bellandur-3,12.93828097,77.6954677,Zepto
,,BLR-Bellandur-5,12.93003117,77.70444465,Zepto
,,BLR-GUNJUR Network,12.93949838,77.72908936,Zepto
,,BLR-Ullal,12.958532,77.479896,Zepto
,,BLR- Sonnenahalli New,12.96170119,77.49901482,Zepto
,,BLR-Koramangala Network,12.9444629,77.6181869,Zepto
,,BLR-BELLANDUR-4,12.94884312,77.68669714,Zepto
,,BLR-Vijay Nagar Network,12.960476,77.519569,Zepto
,,BLR-VIJAY NAGAR,12.96845,77.5381,Zepto
,,BLR-Chickpet New,12.95477912,77.57899927,Zepto
,,BLR-RICHMOND TOWN,12.96637618,77.60692112,Zepto
,,BLR-INDIRANAGAR NEW,12.962298,77.645909,Zepto
,,BLR-Marathahalli-4,12.94915445,77.70329588,Zepto
,,BLR-Marathahalli New,12.95188627,77.71964524,Zepto
,,BLR-Siddapura,12.9569822,77.72966019,Zepto
,,BLR-Chamrajpet,12.960098,77.559489,Zepto
,,BLR-CV Raman Nagar Network-2,12.96657501,77.67172065,Zepto
,,BLR-Marathahalli-3,12.96160746,77.70483424,Zepto
,,BLR-ITPL Layout,12.96191262,77.71678497,Zepto
,,BLR-WHITEFIELD,12.96953,77.74954,Zepto
,,BLR-Nagondanahalli,12.97486139,77.7718582,Zepto
,,BLR-Malagala,12.97812065,77.51643345,Zepto
,,BLR-Marathahalli 2,12.97467998,77.69700174,Zepto
,,BLR-Whitefield Network-2,12.97187036,77.7349202,Zepto
,,BLR-Magadi Road,12.99005606,77.48523812,Zepto
,,BLR-Yallapa Garden,12.983662,77.5487921,Zepto
,,BLR-Malleshwaram new,12.987709,77.561344,Zepto
,,BLR-SHIVAJI NAGAR,12.99288,77.60675,Zepto
,,BLR-CV RAMAN NAGAR NEW,12.97905901,77.67836866,Zepto
,,BLR-BROOKEFIELD,12.98497,77.71066,Zepto
,,BLR-Kadugodi,12.98612069,77.7450889,Zepto
,,BLR-HOPE FARM,12.98031,77.7509,Zepto
,,BLR-JC Nagar,13.0031742,77.5308889,Zepto
,,BLR-SHIVAJI NAGAR Network,13.00264558,77.59946146,Zepto
,,BLR-CV Raman Nagar Network,12.996864,77.673218,Zepto
,,BLR-Brookfield Network,12.99616854,77.69103524,Zepto
,,BLR-Brookfield Network-2,12.9951836,77.7201213,Zepto
,,BLR-YESHWANTPUR,13.010808,77.540878,Zepto
,,BLR-KALYAN NAGAR NEW,13.006655,77.641639,Zepto
